Order Date,Shipment Date,Status,Delivery Date,"Order-to-Delivery, days","Price, EUR",Product ID,"Sum of Order, EUR",Qty ordered,Discount %,"Weight, kg",Delivery type,Premium?,Business?,Content rating,Date of creation,Category,Payment type
11/5/2021,11/6/2021,Delivered,11/6/2021,1,8.67,225850592,8.67,1,0.27,0.5,Courier,0,0,'36.25,9/21/2021,Container,Card
11/5/2021,11/6/2021,Delivered,11/6/2021,1,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,2,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Apple Pay
11/5/2021,11/6/2021,Delivered,11/12/2021,7,10.00,244299590,3.33,3,0.36,0.2,Pick-up Point,0,0,'65,10/8/2021,Holidays,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.33,202528585,3.33,1,0.55,0.1,Pick-up Point,0,0,'65,8/14/2021,Paper,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Courier,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,7.93,225848498,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/5/2021,Delivered,11/7/2021,2,3.96,199519914,3.96,1,0.6,1.1,Pick-up Point,0,0,'40,6/24/2020,Decoration,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,6.28,191684958,6.28,1,0.45,0.2,Pick-up Point,0,0,'61.25,8/30/2020,Stationary,Apple Pay
11/5/2021,11/6/2021,Delivered,11/8/2021,3,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,1,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,3.13,219896042,3.13,1,0.47,0.1,Courier,1,0,'57.5,9/11/2021,Sewing,Apple Pay
11/5/2021,11/5/2021,Delivered,11/7/2021,2,7.93,225850168,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Google Pay
11/5/2021,11/5/2021,Delivered,11/7/2021,2,3.91,262011691,3.91,1,0.47,0.1,Pick-up Point,0,0,'46.25,10/25/2021,Holidays,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,3.37,260502299,3.37,1,0.37,0.3,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.87,251169005,3.87,1,0.51,0.1,Courier,1,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/8/2021,3,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/5/2021,11/6/2021,Delivered,11/10/2021,5,6.28,191684958,6.28,1,0.45,0.2,Pick-up Point,0,0,'61.25,8/30/2020,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,3.96,199519914,3.96,1,0.6,1.1,Courier,0,0,'40,6/24/2020,Decoration,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,3.37,260281519,3.37,1,0.35,0.1,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/5/2021,11/10/2021,Delivered,11/12/2021,7,6.28,191684958,6.28,1,0.45,0.2,Courier,0,0,'61.25,8/30/2020,Stationary,Card
11/5/2021,11/5/2021,Delivered,11/8/2021,3,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,0,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/7/2021,2,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/5/2021,11/5/2021,Delivered,11/8/2021,3,2.65,249846004,2.65,1,0.55,0.2,Pick-up box,0,0,'45,4/4/2021,Paper,Apple Pay
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.65,219921682,3.65,1,0.31,0.1,Pick-up Point,0,0,'70,9/12/2021,Study,Google Pay
11/5/2021,11/5/2021,Delivered,11/6/2021,1,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,0,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/12/2021,7,4.76,251029409,1.59,3,0.76,0.1,Courier,1,0,'35,10/13/2021,Sticker,Card
11/5/2021,11/5/2021,Delivered,11/9/2021,4,3.09,219948104,3.09,1,0.41,0.1,Pick-up Point,1,0,'30,9/12/2021,Sticker,Card
11/5/2021,11/6/2021,Delivered,11/12/2021,7,4.67,265265694,4.67,1,0.29,0.8,Pick-up Point,0,0,'40,10/27/2021,Stationary,Google Pay
11/5/2021,11/6/2021,Delivered,11/9/2021,4,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Google Pay
11/5/2021,11/6/2021,Delivered,11/8/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,1,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/5/2021,Delivered,11/9/2021,4,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/5/2021,11/6/2021,Delivered,11/6/2021,2,3.37,260281519,3.37,1,0.35,0.1,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/5/2021,11/6/2021,Cancelled,,-44505,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/4/2021,11/5/2021,Delivered,11/9/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,8.67,225850592,8.67,1,0.27,0.5,Pick-up Point,0,0,'36.25,9/21/2021,Container,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,5.87,209488909,5.87,1,0.56,0.6,Pick-up Point,0,0,'40,11/17/2020,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/7/2021,2,10.12,260281519,3.37,3,0.35,0.2,Pick-up Point,0,0,'40,10/22/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.13,219896042,3.13,1,0.47,0.1,Pick-up Point,0,0,'57.5,9/11/2021,Sewing,Card
11/4/2021,11/6/2021,Delivered,11/8/2021,4,2.65,182569295,2.65,1,0.49,0.1,Courier,0,0,'51.25,7/23/2020,Journal,Apple Pay
11/4/2021,11/4/2021,Delivered,11/9/2021,5,3.33,204942825,3.33,1,0.58,0.1,Pick-up Point,0,0,'45,8/13/2021,Paper,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,3.13,219896042,3.13,1,0.47,0.1,Pick-up Point,0,0,'57.5,9/11/2021,Sewing,Apple Pay
11/4/2021,11/8/2021,Delivered,11/9/2021,5,8.56,206052892,2.85,3,0.64,0.3,Courier,1,0,'45,8/18/2021,Paper,Card
11/4/2021,11/5/2021,Delivered,11/8/2021,4,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/4/2021,11/5/2021,Delivered,11/9/2021,5,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/4/2021,11/5/2021,Delivered,11/12/2021,8,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/4/2021,Delivered,11/5/2021,1,8.67,225850592,8.67,1,0.27,0.5,Courier,0,0,'36.25,9/21/2021,Container,Card
11/4/2021,11/5/2021,Delivered,11/9/2021,5,7.93,225850168,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/4/2021,11/5/2021,Delivered,11/9/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/4/2021,Delivered,11/5/2021,1,3.93,249910406,3.93,1,0.46,0.2,Pick-up Point,0,0,'25,4/4/2021,Paper,Card
11/4/2021,11/5/2021,Delivered,11/7/2021,3,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/4/2021,11/4/2021,Cancelled,,-44504,3.93,249910406,3.93,1,0.46,0.2,Pick-up Point,0,0,'25,4/4/2021,Paper,Card
11/4/2021,11/4/2021,Delivered,11/5/2021,1,13.13,198486522,13.13,1,0.27,0.7,Courier,0,0,'46.25,9/26/2020,Paper,Card
11/4/2021,11/4/2021,Delivered,11/6/2021,2,6.28,191684958,6.28,1,0.45,0.2,Pick-up Point,0,0,'61.25,8/30/2020,Stationary,Apple Pay
11/4/2021,11/4/2021,Delivered,11/7/2021,3,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Google Pay
11/4/2021,11/4/2021,Cancelled,,-44504,3.65,219921682,3.65,1,0.31,0.1,Pick-up Point,0,0,'70,9/12/2021,Study,Card
11/4/2021,11/5/2021,Delivered,11/7/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/5/2021,Delivered,11/6/2021,2,5.87,249919089,5.87,1,0.25,0.2,Courier,0,0,#N/A,#N/A,No data,Card
11/4/2021,11/4/2021,Delivered,11/6/2021,2,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/4/2021,11/4/2021,Delivered,11/7/2021,3,3.91,249919188,3.91,1,0.51,0.2,Pick-up Point,0,0,'40,4/4/2021,Paper,Apple Pay
11/4/2021,11/4/2021,Delivered,11/5/2021,1,3.33,204942825,3.33,1,0.58,0.1,Pick-up Point,0,0,'45,8/13/2021,Paper,Card
11/4/2021,11/4/2021,Delivered,11/13/2021,9,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/4/2021,11/4/2021,Delivered,11/9/2021,5,6.53,184250194,6.53,1,0.11,0.5,Pick-up Point,1,0,#N/A,#N/A,No data,Card
11/3/2021,11/4/2021,Delivered,11/5/2021,2,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/4/2021,Delivered,11/6/2021,3,13.13,198486522,13.13,1,0.27,0.7,Pick-up Point,1,0,'46.25,9/26/2020,Paper,Card
11/3/2021,11/4/2021,Delivered,11/8/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/8/2021,Cancelled,,-44504,3.33,219899101,3.33,1,0.49,0.1,Courier,0,0,'41.25,9/11/2021,Sticker,Card
11/3/2021,11/4/2021,Delivered,11/5/2021,2,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/6/2021,Delivered,11/8/2021,5,3.68,251169005,3.68,1,0.52,0.1,Courier,1,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/4/2021,Delivered,11/8/2021,5,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/3/2021,11/4/2021,Delivered,11/7/2021,4,3.87,219925820,3.87,1,0.34,0.4,Pick-up Point,0,0,'60,9/11/2021,Study,Card
11/3/2021,11/3/2021,Delivered,11/4/2021,1,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/3/2021,11/4/2021,Delivered,11/8/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/4/2021,Delivered,11/8/2021,5,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/3/2021,11/3/2021,Delivered,11/4/2021,1,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/4/2021,Delivered,11/9/2021,6,3.91,262011691,3.91,1,0.47,0.1,Pick-up Point,1,0,'46.25,10/25/2021,Holidays,Card
11/3/2021,11/4/2021,Cancelled,,-44504,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Apple Pay
11/3/2021,11/3/2021,Delivered,11/4/2021,1,13.13,198486522,13.13,1,0.27,0.7,Pick-up Point,0,0,'46.25,9/26/2020,Paper,Card
11/3/2021,11/9/2021,Delivered,11/10/2021,7,3.87,251169005,3.87,1,0.51,0.1,Courier,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/3/2021,Delivered,11/6/2021,3,3.13,219896042,3.13,1,0.47,0.1,Pick-up Point,1,0,'57.5,9/11/2021,Sewing,Apple Pay
11/3/2021,11/4/2021,Delivered,11/9/2021,6,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/3/2021,11/3/2021,Delivered,11/8/2021,5,4.67,184262641,4.67,1,0.41,0.5,Pick-up Point,0,0,'10,7/29/2020,Paper,Apple Pay
11/3/2021,11/4/2021,Delivered,11/6/2021,3,5.00,265292051,5.00,1,0.32,0.3,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/3/2021,11/4/2021,Delivered,11/6/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Apple Pay
11/3/2021,11/4/2021,Delivered,11/9/2021,6,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/4/2021,Delivered,11/6/2021,3,7.93,225850168,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Google Pay
11/3/2021,11/4/2021,Delivered,11/8/2021,5,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Apple Pay
11/3/2021,11/4/2021,Delivered,11/6/2021,3,5.87,209488909,5.87,1,0.56,0.6,Pick-up Point,0,0,'40,11/17/2020,Stationary,Apple Pay
11/3/2021,11/3/2021,Delivered,11/4/2021,1,13.13,198486522,13.13,1,0.27,0.7,Pick-up Point,0,0,'46.25,9/26/2020,Paper,Google Pay
11/3/2021,11/4/2021,Delivered,11/7/2021,4,3.68,251169005,3.68,1,0.52,0.1,Pick-up Point,1,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/5/2021,Delivered,11/6/2021,3,3.65,219921682,3.65,1,0.31,0.1,Courier,0,0,'70,9/12/2021,Study,Apple Pay
11/3/2021,11/4/2021,Delivered,11/8/2021,5,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Apple Pay
11/3/2021,11/3/2021,Delivered,11/4/2021,1,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/3/2021,11/6/2021,Cancelled,,-44503,3.91,262011691,3.91,1,0.47,0.1,Courier,0,0,'46.25,10/25/2021,Holidays,Card
11/3/2021,11/3/2021,Delivered,11/5/2021,2,3.17,219899101,3.17,1,0.5,0.1,Pick-up Point,1,0,'41.25,9/11/2021,Sticker,Card
11/3/2021,11/4/2021,Delivered,11/5/2021,2,3.87,251169005,3.87,1,0.51,0.1,Courier,0,0,'68.75,4/7/2021,Stationary,Apple Pay
11/3/2021,11/4/2021,Delivered,11/9/2021,6,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Card
11/3/2021,11/6/2021,Delivered,11/8/2021,5,3.65,219921682,3.65,1,0.31,0.1,Pick-up Point,0,0,'70,9/12/2021,Study,Card
11/3/2021,11/3/2021,Delivered,11/8/2021,5,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/3/2021,11/4/2021,Delivered,11/7/2021,4,5.32,222204429,5.32,1,0.53,0.4,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/3/2021,11/4/2021,Cancelled,,-44503,3.93,249910406,3.93,1,0.46,0.2,Courier,0,0,'25,4/4/2021,Paper,Card
11/3/2021,11/3/2021,Delivered,11/4/2021,2,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Card
11/2/2021,11/3/2021,Delivered,11/4/2021,2,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/2/2021,11/3/2021,Delivered,11/5/2021,3,13.13,198486522,13.13,1,0.27,0.7,Pick-up Point,0,0,'46.25,9/26/2020,Paper,Card
11/2/2021,11/3/2021,Delivered,11/7/2021,4,7.93,225850168,7.93,1,0.33,0.5,Courier,0,0,#N/A,#N/A,No data,Apple Pay
11/2/2021,11/3/2021,Delivered,11/5/2021,3,3.87,251169005,3.87,1,0.51,0.1,Courier,0,0,'68.75,4/7/2021,Stationary,Card
11/2/2021,11/4/2021,Delivered,11/8/2021,6,7.87,249910406,3.93,2,0.46,0.4,Pick-up Point,0,0,'25,4/4/2021,Paper,Apple Pay
11/2/2021,11/3/2021,Delivered,11/6/2021,4,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/2/2021,11/3/2021,Delivered,11/6/2021,4,3.33,219894852,3.33,1,0.36,0.1,Pick-up Point,0,0,'30,9/11/2021,Sticker,Digital
11/2/2021,,Cancelled,,-44503,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Card
11/2/2021,11/3/2021,Delivered,11/6/2021,4,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/2/2021,11/5/2021,Delivered,11/10/2021,8,4.67,228251902,4.67,1,0.41,0.1,Courier,0,0,'40,10/1/2021,Stationary,Card
11/2/2021,11/3/2021,Delivered,11/4/2021,2,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/2/2021,11/3/2021,Delivered,11/9/2021,7,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Google Pay
11/2/2021,11/3/2021,Delivered,11/4/2021,2,6.67,206052892,3.33,2,0.58,0.2,Courier,0,0,'45,8/18/2021,Paper,Card
11/2/2021,11/2/2021,Delivered,11/4/2021,2,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/2/2021,11/3/2021,Delivered,11/5/2021,3,11.96,241909946,3.99,3,0.29,1,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Card
11/2/2021,11/2/2021,Delivered,11/4/2021,2,3.37,260281519,3.37,1,0.35,0.1,Pick-up Point,1,0,'40,10/22/2021,Stationary,Card
11/2/2021,11/7/2021,Delivered,11/7/2021,5,1.49,251029409,1.49,1,0.77,0,Courier,0,0,'35,10/13/2021,Sticker,Card
11/2/2021,11/3/2021,Delivered,11/5/2021,3,3.09,219949996,3.09,1,0.41,0.1,Pick-up Point,0,0,#N/A,#N/A,No data,Apple Pay
11/2/2021,11/3/2021,Delivered,11/9/2021,7,3.33,219899101,3.33,1,0.49,0.1,Pick-up Point,0,0,'41.25,9/11/2021,Sticker,Card
11/2/2021,11/2/2021,Delivered,11/3/2021,1,13.13,198486522,13.13,1,0.27,0.7,Pick-up Point,0,0,'46.25,9/26/2020,Paper,Card
11/2/2021,11/2/2021,Delivered,11/5/2021,3,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Apple Pay
11/2/2021,11/2/2021,Delivered,11/7/2021,5,5.87,209488909,5.87,1,0.56,0.6,Pick-up Point,0,0,'40,11/17/2020,Stationary,Card
11/2/2021,11/2/2021,Delivered,11/4/2021,2,2.65,182569295,2.65,1,0.49,0.1,Pick-up Point,0,0,'51.25,7/23/2020,Journal,Card
11/2/2021,11/5/2021,Delivered,11/8/2021,6,3.99,241909946,3.99,1,0.29,0.3,Courier,0,0,'5,3/16/2021,House & Garden,Card
11/2/2021,11/3/2021,Delivered,11/6/2021,4,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Google Pay
11/2/2021,11/3/2021,Delivered,11/8/2021,6,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Apple Pay
11/2/2021,11/3/2021,Delivered,11/6/2021,4,3.61,298265922,3.61,1,0.45,0.1,Pick-up Point,1,0,'25,6/22/2021,Study,Apple Pay
11/2/2021,11/3/2021,Delivered,11/4/2021,2,3.33,244299590,3.33,1,0.36,0.1,Pick-up Point,0,0,'65,10/8/2021,Holidays,Card
11/2/2021,11/3/2021,Delivered,11/5/2021,3,5.32,222841895,5.32,1,0.53,0.4,Courier,0,0,#N/A,#N/A,No data,Card
11/2/2021,11/3/2021,Delivered,11/6/2021,4,3.87,251169005,3.87,1,0.51,0.1,Courier,1,0,'68.75,4/7/2021,Stationary,Google Pay
11/2/2021,11/3/2021,Delivered,11/7/2021,5,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,0,0,#N/A,#N/A,No data,Card
11/2/2021,11/3/2021,Delivered,11/7/2021,5,3.65,219921682,3.65,1,0.31,0.1,Pick-up Point,0,0,'70,9/12/2021,Study,Card
11/2/2021,11/3/2021,Delivered,11/6/2021,4,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,1,0,'68.75,4/7/2021,Stationary,Apple Pay
11/2/2021,11/6/2021,Cancelled,,-44502,8.67,225850592,8.67,1,0.27,0.5,Courier,0,0,'36.25,9/21/2021,Container,Apple Pay
11/2/2021,11/3/2021,Delivered,11/7/2021,5,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Apple Pay
11/2/2021,11/4/2021,Delivered,11/6/2021,4,3.87,251169005,3.87,1,0.51,0.1,Courier,1,0,'68.75,4/7/2021,Stationary,Card
11/2/2021,11/3/2021,Delivered,11/10/2021,8,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Apple Pay
11/2/2021,11/3/2021,Delivered,11/7/2021,5,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/2/2021,11/2/2021,Delivered,11/7/2021,5,3.99,241909946,3.99,1,0.29,0.3,Pick-up Point,0,0,'5,3/16/2021,House & Garden,Card
11/2/2021,11/3/2021,Delivered,11/8/2021,6,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/2/2021,11/2/2021,Delivered,11/5/2021,3,8.67,225850592,8.67,1,0.27,0.5,Pick-up Point,1,0,'36.25,9/21/2021,Container,Card
11/2/2021,11/2/2021,Delivered,11/5/2021,3,7.93,225848498,7.93,1,0.33,0.5,Pick-up Point,1,0,#N/A,#N/A,No data,Card
11/2/2021,11/3/2021,Delivered,11/8/2021,6,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,0,0,'45,4/4/2021,Paper,Card
11/2/2021,11/2/2021,Delivered,11/5/2021,3,2.65,249846004,2.65,1,0.55,0.2,Pick-up Point,1,0,'45,4/4/2021,Paper,Card
11/2/2021,11/3/2021,Delivered,11/5/2021,3,3.33,219895099,3.33,1,0.49,0.1,Pick-up Point,0,0,'41.25,9/11/2021,Sticker,Credit
11/2/2021,11/2/2021,Delivered,11/5/2021,3,3.87,251169005,3.87,1,0.51,0.1,Pick-up Point,0,0,'68.75,4/7/2021,Stationary,Card
11/2/2021,11/6/2021,Delivered,11/8/2021,6,3.33,204942825,3.33,1,0.58,0.1,Courier,0,0,'45,8/13/2021,Paper,Card
